# Cerca lineal. Temps en microsegons
# Talla      Pitjor     Millor    Promedi
#----------------------------------------
   10000      6.540      1.799      3.824
   20000      9.635      1.814      8.696
   30000     13.365      1.787     12.132
   40000     17.232      1.788     15.711
   50000     21.176      1.787     19.096
   60000     26.000      1.786     22.652
   70000     30.391      1.788     26.301
   80000     34.672      1.788     29.926
   90000     38.561      1.788     33.425
  100000     42.590      1.787     37.027
