# Inserció. Temps en microsegons
# Talla      Pitjor     Millor    Promedi
#----------------------------------------
    1000    800.993     21.293    264.089
    2000   1335.838      9.641    672.359
    3000   2969.590     17.325   1939.308
    4000   5240.202     17.718   2640.867
    5000   8740.276     19.774   4122.181
    6000  11734.326     24.027   5913.392
    7000  15965.145     27.170   8020.284
    8000  20987.154     33.963  10469.148
    9000  27470.243     34.598  13730.616
   10000  33189.921     37.340  16350.600
