[?1034h# Mostra%       a       b     E     k   Ete       E%  I95inf%  I95sup%
#-------- -------- ------- ----- ----- ----- -------- -------- --------
      40        1        1     0    46   276     15.3     13.7     17.0
      40        1    1e+01     0    36   273     15.2     13.5     16.8
      40        1    1e+02     0    57   267     14.8     13.2     16.5
      60        1        1     0    78   175     14.6     12.6     16.6
      60        1    1e+01     0    77   170     14.2     12.2     16.1
      60        1    1e+02     0    79   167     13.9     12.0     15.9
      80        1        1     0   108    84     14.0     11.2     16.8
      80        1    1e+01     0    89    89     14.8     12.0     17.7
      80        1    1e+02     0   121    86     14.3     11.5     17.1
